English,Chinese
You're just running away from life's problems.,你只会逃避生活问题。
There's a problem there that you don't see.,有个问题你没有想到。
My physics teacher doesn't care if I skip classes.,我的物理老师不在乎我是否逃课。
I wish I could go to Japan.,我非常希望能够去日本。
I wish I could go to Japan.,要是能去日本就好了。
I have to go to bed.,我该去睡觉了。
I have to go to bed.,我该上床了。
It may freeze next week.,下周可能会结冰。
"Even though he apologized, I'm still furious.",即使他道歉了，我还是很愤怒。
"Even though he apologized, I'm still furious.",雖然他道歉了，但我還是很生氣。
The police will get you to find the bullets.,警察会让你去找子弹的。
Thanks for having explained to me at last why people take me for an idiot.,感谢最后为我说明了为什么人们把我当作傻瓜了。
That wasn't my intention.,那不是我的本意。
That wasn't my intention.,这不是我的初衷。
That wasn't my intention.,那不是我故意的。
Thanks for your explanation.,谢谢你的解释。
I don't know what you mean.,我不懂你什么意思。
I don't know what you mean.,我不知道你什麼意思。
"If I wanted to scare you, I would tell you what I dreamt about a few weeks ago.",如果我是想吓你，我就会告诉你我几周前梦到的事。
I don't like it when mathematicians who know much more than I do can't express themselves explicitly.,我不喜欢那些数学家知道的比我多得多，却不知道清楚地表达自己。
You're really not stupid.,你真的不笨。
I need to ask you a silly question.,我必须问你一个蠢问题。
"I wouldn't have thought I would someday look up ""Viagra"" in Wikipedia.",我不会想到有一天我会在维基百科查找“伟哥”。
No one will know.,沒有人會知道。
No one will know.,没有人能知道。
It seems interesting to me.,在我看来很有意思！
I like candlelight.,我很喜欢烛光。
What did you answer?,你回答了什么？
What did you answer?,您回答了什么？
What did you answer?,您怎么回答的？
You never have class or what?!,你从来没课还是怎样？
I will play Sudoku then instead of continuing to bother you.,那我就不继续打扰你，玩数独游戏去了。
Where is the problem?,哪裡有問題?
I love you.,我爱你。
I love you.,我爱您。
I don't like you anymore.,我再也不喜欢你了。
I am curious.,我很好奇。
Congratulations!,祝贺你。
Congratulations!,祝贺你
Congratulations!,恭喜！
Congratulations!,恭喜你！
Congratulations!,祝贺！
I don't want to wait that long.,我不想等那么久。
Why don't you come visit us?,为什么你不来看我们？
I shouldn't have logged off.,我不该退出的。
I shouldn't have logged off.,我不應該登出。
"It is inevitable that I go to France someday, I just don't know when.",有一天我去法国是无可避免的，我只是不知道何时。
"It is inevitable that I go to France someday, I just don't know when.",我總有一天是必須去法國的，但不知道是何時。
I hate chemistry.,我讨厌化学。
You can probably guess what happens though.,但你很可能猜得到会发生什么。
I have nothing better to do.,我没有其他更好的事情去做。
I can't explain it either.,我也无法解释。
I can't explain it either.,我也無法解釋。
Everyone has strengths and weaknesses.,每个人都有他的长处和短处。
"Seriously though, episode 21 made me almost cry while laughing.",但是说真的，第21集让我笑得眼泪都要出来了。
How could I be a robot? Robots don't dream.,我怎么可能是机器人呢？机器人不会做梦。
It's not something anyone can do.,这不是任何人都能做的事。
I don't know if I still have it.,我不知道我还有没有。
What do you think I've been doing?,你觉得我之前在做什么？
Don't underestimate my power.,不要小看我的力量。
Don't underestimate my power.,不要低估我的力量。
My mom doesn't speak English very well.,我妈妈英语说得不太好。
I was wondering if you were going to show up today.,我在想你今天会不会来。
Therein lies the problem.,那就是问题所在了。
How do you find food in outer space?,你怎么在太空里找到食物？
All you can do is trust one another.,你们除了信任对方，没什么要做的了。
Everyone wants to meet you. You're famous!,大家都想见到你，你太有名了！
Foreign people intrigue me.,外国人很有意思。
"Whatever I do, she says I can do better.",不管我做什么，她都说我能做得更好。
You'd be surprised what you can learn in a week.,你会很惊讶你在一周内能学到的东西。
I don't have anyone who'd travel with me.,我没有一个愿意跟我一起旅行的人。
You're not fast enough.,你不够快。
"Life is hard, but I am harder.",生活很困难，但我更坚强。
Stop it! You're making her feel uncomfortable!,得了！你弄得她不自在了！
"Tomorrow, he will land on the moon.",明天，他将登上月球。
"Tomorrow, he will land on the moon.",明天他会在月球降落。
I don't speak Japanese.,我不说日语。
I don't speak Japanese.,我不会讲日本话。
I don't speak Japanese.,我不說日語。
Nobody understands me.,没有人理解我。
Nobody understands me.,無人懂我。
Nobody understands me.,没人理解我。
I learned to live without her.,我学会了不靠她生活。
I have too many things on my mind these days.,这几天我脑袋里的事情太多了。
I just wanted to check my email.,我只想查一下我的电子邮件。
Do you really need to ask the question to know the answer?,你真的需要提问题来知道答案吗？
You can't expect me to always think of everything!,你不能指望我一直考虑周到！
You really don't have the right priorities!,你真的没有优先权！
Don't expect others to think for you!,别指望别人来为你考虑！
Don't expect others to think for you!,別指望別人替你思考。
You never have time for important things!,你从来没时间处理重要的事情！
It's no use pretending to make me believe that I believe things you don't believe!,要我相信我会相信你不相信的东西是没用的！
It would take me too much time to explain to you why it's not going to work.,给你解释这为什么行不通要花很多时间。
I'm so dumb... I'm trying to explain things to you that I don't understand myself.,我太愚蠢了...我竟然试着给你解释我自己都不懂的东西。
"Stop seeing me as a ""normal"" person!",不要再把我当成“正常” 人!
Are you referring to me?,你在说我吗？
"There will always be things I will never learn, I don't have eternity before me!",总有一些东西我永远不能学会，我的生命不是永恒的！
It can't be!,这不可能！
It can't be!,不可能！
"I wish I could care more about my grades but it seems that, at a certain point of my life, I decided they wouldn't be so important anymore.",我希望可以更紧张我的成绩，但是似乎在我生命的某一刻，我决定它将不再那么重要了。
A rolling stone gathers no moss is a proverb.,“滚石不生苔”是一句谚语。
Would you like something to drink?,你想要什么喝的吗？
Would you like something to drink?,你想喝點什麼嗎？
"Who is it? ""It's your mother.""",“是谁？”“是你妈妈。”
"When will you be back? ""It all depends on the weather.""",“你什么时候回来？”“这都要看天气。”
"When will you be back? ""It all depends on the weather.""",“你什么时候回来？”“这取决于天气如何。”
"When will you be back? ""It all depends on the weather.""",“你什么时候回来呀？”“看一下天气怎么样再说啦。”
"What's going on in the cave? I'm curious. ""I have no idea.""",“洞里发生了什么？我很好奇。”“我一点也不知道。”
"What's going on in the cave? I'm curious. ""I have no idea.""","山洞裡發生了什麼事? 我很好奇。""我不知道。"""
"We must learn to live together as brothers, or we will perish together as fools.",我们必须学会像兄弟一样共同生活，要么就像傻子一样同归于尽。
"To tell you the truth, I am scared of heights. ""You are a coward!""",“坦白说，我有恐高症。”“你是个胆小鬼！”
"Trust me, he said.",“相信我。”他说。
This is what I was looking for! he exclaimed.,“这正是我在找的。”他喊道。
This is what I was looking for! he exclaimed.,「這就是我要找的東西！」他大叫。
"This looks pretty interesting, Hiroshi says.",“这看上去很有意思。”Hiroshi说道。
"The phone is ringing. ""I'll get it.""",“电话响了。”“我去接。”
"The phone is ringing. ""I'll get it.""",“电话响了。”“我来接。”
"That's very nice of you, Willie answered.",“你太好了。”Willie回答道。
"Thank you for helping me. ""Don't mention it.""",“谢谢你的帮助。”　“不用谢。”
Someday I'll run like the wind.,有一天，我会跑得像风一样快。
"She likes music. ""So do I.""",“她喜欢音乐。”“我也是。”
Please don't cry.,请你不要哭。
It may be that the happiness awaiting us is not at all the sort of happiness we would want.,很可能等待着我们的幸福根本不是我们要的那种幸福。
It is up to you to decide whether we will go there or not.,该由你来决定我们去不去那儿。
It is up to you to decide whether we will go there or not.,我们去不去那儿由你来决定。
Class doesn't begin until eight-thirty.,八點半開始上課。
I want a boat that will take me far away from here.,我想要一艘船带我远离这里。
"I feel like playing cards. ""So do I.""",“我想打牌。”“我也是。”
Haven't we met somewhere before? asked the student.,“以前我们没在哪儿见过吗？”学生问道。
Allen is a poet.,Allen是个诗人。
The archer killed the deer.,射手打死了鹿。
Communism will never be reached in my lifetime.,在我有生之年，共產主義不可能達到。
Rye was called the grain of poverty.,黑麦被称为贫穷的谷物。
"In the 1950's, the Finns were cited as having one of the least healthy diets in the world.",50年代，芬兰人被认为是世界上饮食最不健康的例子。
"If you see a mistake, then please correct it.",如果你发现错误，那就请你纠正它。
"If you see a mistake, then please correct it.",如果你發現有錯的話請幫忙改正。
Place the deck of cards on the oaken table.,把扑克牌放在橡木桌上。
The Germans are very crafty.,德国人很狡猾。
The Germans are very crafty.,德国人诡计多端。
"If you don't eat, you die.",人不吃東西就會死。
"How do you spell ""pretty""?",你怎么拼“pretty”？
"How do you spell ""pretty""?",“pretty”怎么拼写？
Why don't we go home?,我们何不回家呢？
"I'm sorry, I can't stay long.",对不起，我不能待很久。
"Why aren't you going? ""Because I don't want to.""","你为什么不去？""因为我不想去。"
"Why aren't you going? ""Because I don't want to.""",“为什么你不来？”“因为我不想。”
One million people lost their lives in the war.,100万人在战争中失去了生命。
"Democracy is the worst form of government, except all the others that have been tried.",除了那些我们尝试过的政府形态，民主是最差的那种了。
"When you're beginning to look like the photo in your passport, you should go on a holiday.",当我们开始像自己护照上的照片时，我们该去度假了。
"It wasn't me, commissioner!",局长，那不是我！
With so many people around he naturally became a bit nervous.,他被很多人围着，自然变得有点紧张。
You're an angel!,你真是个天使！
People from Madrid are weird.,从马德里来的人都很怪。
"Well, the night is quite long, isn't it?",夜晚很长，不是吗？
You're lucky because he didn't bite you.,你真走运，因为他没咬你。
Did you miss me?,你想我了？
Are they all the same?,他们都是一样的吗？
Thank you very much!,非常感谢！
Thank you very much!,多谢！
"Where are the eggs, please?",请问鸡蛋在哪里？
It's a surprise.,这是一个惊喜。
That's a good idea!,真是个好主意！
Round trip? Only one-way.,往返吗？是单程。
It's a pity when somebody dies.,有人死了的时候真是遗憾。
They were left speechless.,他们惊得目瞪口呆。
Damn! It's not bad!,妈的！真不错！
Wash before first wearing.,初次穿着前要先清洗。
They say love is blind.,人们说爱情是盲目的。
"Math is like love: a simple idea, but it can get complicated.",数学就像爱情，一个简单的意思，但可以变得很复杂。
The only useful answers are those that raise new questions.,只有能提出新问题的回答才是有用的回答。
To have doubts about oneself is the first sign of intelligence.,自我怀疑是聪明的第一标志。
"Poor is not the one who has too little, but the one who wants too much.",贫穷的不是拥有太少的人，而是想要太多的人。
How long does it take to get to the station?,去火车站要多久？
This will be a good souvenir of my trip around the United States.,这将是我环绕美国旅行中一个很好的纪念品。
Excuse me; allow me to point out three errors in the above article.,抱歉，请允许我指出上文中的三个错误。
"It is difficult to keep up a conversation with someone who only says ""yes"" and ""no"".","和一个只说""是""与""否""的人维持一段对话是很难的。"
"It is difficult to keep up a conversation with someone who only says ""yes"" and ""no"".",跟一个只说“是”和“不是”的人很难继续谈话。
Do you speak Italian?,你说意大利语吗？
Do you speak Italian?,你會說義大利語嗎？
"It is said that ""Hamlet"" is the most interesting play ever written.",据说《哈姆雷特》是写出来的最有意思的剧本。
May I ask a question?,我能问个问题吗？
It's quite difficult to master French in 2 or 3 years.,很难在2、3年内掌握法语。
It's quite difficult to master French in 2 or 3 years.,两三年就想掌握法语是很困难的。
It's impossible for me to explain it to you.,要我解释给你听是不可能的。
Imagination affects every aspect of our lives.,想像力影响着我们生活的各个方面。
You'll forget about me someday.,有一天你会忘了我。
You'll forget about me someday.,有一天你會忘記我的。
That is rather unexpected.,这真是很意外。
I couldn't have done it without you. Thank you.,没有你我无法做到，谢谢。
Nothing is achieved without effort.,没有什么是不劳而获的。
Many people drift through life without a purpose.,许多人毫无目的地随波逐流。
Life without love is just totally pointless.,没有爱情的生活毫无意义。
Do you have a condom?,你有避孕套吗？
Do whatever he tells you.,他跟你说什么，你就做什么。
I can walk to school in 10 minutes.,我走路10分钟能到学校 。
It took me more than two hours to translate a few pages of English.,翻译几页英文花了我2个多小时。
It is already eleven.,已经是11点了。
May I talk to Ms. Brown?,我能和布朗小姐说话吗？
Ah! is an interjection.,“啊！”是一个感叹词。
What do you want?,你想要什么？
What do you want?,你想要什麼?
What do you want?,你要什麼？
The mandatory character of schooling is rarely analyzed in the multitude of works dedicated to the study of the various ways to develop within children the desire to learn.,許多著作都致力於研究開發小孩學習慾望的方式，但其中很少會有作品分析學校教育的強制性角色。
You suck dude! I have to tell you everything!,你好烂哦！ 我什么事都需要跟你讲！
Paris is the most beautiful city in the world.,巴黎是世界上最美丽的城市。
"Hey, I may have no money, but I still have my pride.",嗨，我可能没钱，但我一直有我的骄傲。
I have a dream.,我有一个梦想。
This is my friend Rachel. We went to high school together.,这是我朋友Rachel，我们当时在同一所高中。
"All that which is invented, is true.",所有被发明的都是真的。
"To be surprised, to wonder, is to begin to understand.",感到惊讶、感到惊奇就是明白的开始。
But the universe is infinite.,但宇宙無限。
To be perfect she lacked just one defect.,要变得完美，她就是少了一个缺点。
"And yet, the contrary is always true as well.",然而，相反的理论往往也是真的。
"We don't see things as they are, but as we are.",我们看东西不是看其实质，而是以我们的主观意识看它们的。
The world is a den of crazies.,世界就是一个疯子的囚笼。
You opened up my eyes to what it's like when everything is right.,你讓我看到了一切順利時的樣子。
You're by my side; everything's fine now.,你在我旁边，现在一切都好了。
You look stupid.,你看上去很傻。
My name is Jack.,我叫Jack。
My name is Jack.,我叫傑克。
I like it very much.,我非常喜歡它.
How do you say that in Italian?,那个词用意大利语怎么说？
I have to go shopping. I'll be back in an hour.,我该去买东西了，我一小时后回来。
Is it far from here?,离这儿远吗？
Is it far from here?,离这里远不远？
These things aren't mine!,这些东西不是我的！
Would you like to dance with me?,你愿意和我跳舞吗？
It's not my fault!,这不是我的错！
I'd like to stay for one night.,我想待一夜。
Is there a youth hostel near here?,附近有没有青年旅舍？
Where are the showers?,浴室在哪里？
Open your mouth!,把嘴张开！
I have lost my wallet.,我掉了我的钱包。
Love is never wasted.,从来就没有徒劳的爱情。
Life is what happens to you while you're busy making other plans.,生活就是當你忙著進行你的計劃時總有其他的事情發生。
Not wanting is the same as having.,没有欲望就等于拥有。
He's very sexy.,他非常性感。
He's very sexy.,他性感得很。
"Pass me the salt, please. ""Here you are.""",“请把盐递给我。”“拿着。”
There are too many things to do!,要做的事太多了!
Thanks to you I've lost my appetite.,多亏你我胃口都没了。
I really need to hit somebody.,我真的很想扁一個人。
My parents keep arguing about stupid things. It's so annoying!,我父母整天都在為雞毛蒜皮的事情吵架，真是煩死人了！
"If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.",你不想涂防晒霜是你的问题，但是晒伤了不要来抱怨。
"My friends always say I'm too calm, but my family always says I'm too annoying.",我的朋友们总是说我太安静了，而我的家人总是说我太让人烦了。
It is very hot today.,今天很热。
Better to be hated for who you are than loved for who you're not.,宁愿做自己而被人讨厌，也不要因为虚假而被人喜欢。
Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.,就算你明天起床，發現整個宇宙消失了，還有一門科學是可以繼續研究的 ﹣ 那就是數學了。
My eyes are an ocean in which my dreams are reflected.,我的眼睛是一片反映我梦想的海洋。
"You know the phrase, we reap what we sow. I have sown the wind and this is my storm.",你也知道那句話，「善有善報，惡有惡報」。我搧的風，現在火就來了。
Look at me when I talk to you!,我跟你说话的时候看着我！
I don't know what to say to make you feel better.,我不知道该说什么来安慰你。
This is not my type.,这不是我喜欢的类型。
I was trying to kill time.,我试着消磨时间。
How did you come up with this crazy idea?,你是怎麼想到這麼瘋狂的主意的？
I'm tired.,我很累。
I'm tired.,我累了。
I'm tired.,我累了.
When do we arrive?,我们什么时候到达？
"The check, please.",买单。
I have a headache.,我头痛。
I have a headache.,我的头疼。
I have a headache.,我头疼。
I must admit that I snore.,我必須承認我打呼。
How are you? Did you have a good trip?,你怎么样？旅游愉快吗？
I don't feel well.,我感觉不舒服。
Call the police!,叫警察！
Call the police!,报警！
It's too expensive!,太贵了！
It's too expensive!,太贵了吧！
Merry Christmas!,聖誕節快樂！
Merry Christmas!,圣诞节快乐！
Merry Christmas!,聖誕快樂。
"If you're tired, why don't you go to sleep? ""Because if I go to sleep now I will wake up too early.""",「你累的話怎麼不去睡覺？」「因為我現在去睡的話，就會太早醒過來了。」
"It's a complete mess, and it's getting on my nerves.",這完全一團亂，讓我心煩意亂。
"When the body is touched, receptors in the skin send messages to the brain causing the release of chemicals such as endorphins.",當身體受到外界觸碰的時候，皮膚的感受器就會向大腦發出信息，令大腦釋放安多芬等的化學物質。
One hundred and fifty thousand couples are expected to get married in Shanghai in 2006.,预计2006年15万对夫妇将会在上海結婚。
Those selected will have to face extensive medical and psychological tests.,被选上的将会面临大量的医学和精神测试。
Half a million children still face malnutrition in Niger.,尼日尔仍然有50万孩子面临着营养不良。
It will take five to ten years for the technology to be ready.,在科技准备好之前需要五到十年。
The French government has launched an online game that challenges taxpayers to balance the national budget.,法國政府發布了一款線上遊戲，讓納稅人挑戰平衡國家預算。
What do you believe is true even though you cannot prove it?,有什麼是你不能證明確相信的呢？
Computers make people stupid.,电脑让人变愚蠢了。
"When you're trying to prove something, it helps to know it's true.","當你試圖去證明某件事, 有助於了解它是真的。"
Most scientific breakthroughs are nothing else than the discovery of the obvious.,多數科學突破只不過是發現了顯而易見的事。
"If you don't understand something, it's because you aren't aware of its context.",如果你不明白一件事，那是因为你没有意识到它的背景。
"The past can only be known, not changed. The future can only be changed, not known.",我們可以回顧過去，但不能改變過去；我們可以改變未來，但不能預知未來。
